datetime;total_votes;thaisia_b;Есения;pupsique;Wiedemann;Terkin;voklo;Bf109H;XASSA;uisky;akuaku
2019-06-05 05:45:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:46:58;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:47:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:48:58;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:49:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:50:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:51:58;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:52:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:53:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:54:58;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:55:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:56:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:57:58;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:58:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:59:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 06:00:58;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 06:01:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 06:02:58;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 06:03:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 06:04:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 06:05:58;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 06:06:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 06:07:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 06:08:58;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 06:09:59;51;7;11;0;4;4;9;6;1;3;0
2019-06-05 06:10:59;51;7;11;0;4;4;9;6;1;3;0
2019-06-05 06:11:58;51;7;11;0;4;4;9;6;1;3;0
2019-06-05 06:12:59;51;7;11;0;4;4;9;6;1;3;0
2019-06-05 06:13:59;51;7;11;0;4;4;9;6;1;3;0
2019-06-05 06:14:58;51;7;11;0;4;4;9;6;1;3;0
2019-06-05 06:15:59;51;7;11;0;4;4;9;6;1;3;0
2019-06-05 06:16:59;51;7;11;0;4;4;9;6;1;3;0
2019-06-05 06:17:59;52;8;11;0;4;4;9;6;1;3;0
2019-06-05 06:18:59;52;8;11;0;4;4;9;6;1;3;0
2019-06-05 06:19:59;52;8;11;0;4;4;9;6;1;3;0
2019-06-05 06:20:58;52;8;11;0;4;4;9;6;1;3;0
2019-06-05 06:21:59;52;8;11;0;4;4;9;6;1;3;0
2019-06-05 06:22:59;52;8;11;0;4;4;9;6;1;3;0
2019-06-05 06:23:58;52;8;11;0;4;4;9;6;1;3;0
